Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [ 1.78917969 -0.94937905], Best Fitness = 12.167104441071416, Evaluations = 16
Generation 73: Best Solution = [-6.19713909e-05 -3.57300129e-05], Best Fitness = 1.01518958217639e-06, Evaluations = 1184
Generation 74: Best Solution = [-6.19713909e-05 -3.57300129e-05], Best Fitness = 1.01518958217639e-06, Evaluations = 1200
Generation 75: Best Solution = [-6.19713909e-05 -3.57300129e-05], Best Fitness = 1.01518958217639e-06, Evaluations = 1216
Generation 76: Best Solution = [-5.18950052e-05 -1.89288903e-05], Best Fitness = 6.053725130072962e-07, Evaluations = 1232
Generation 77: Best Solution = [-5.18950052e-05 -1.89288903e-05], Best Fitness = 5.380319905157194e-07, Evaluations = 1248
Generation 78: Best Solution = [-3.02032584e-05 -2.42682259e-05], Best Fitness = 2.978229503014518e-07, Evaluations = 1264
Generation 79: Best Solution = [1.24437115e-05 3.51240426e-05], Best Fitness = 2.7547620717882637e-07, Evaluations = 1280
Generation 80: Best Solution = [-2.12296814e-05 -2.42682259e-05], Best Fitness = 2.0625757457537475e-07, Evaluations = 1296
Generation 81: Best Solution = [-5.23932513e-06  2.82488468e-06], Best Fitness = 7.029129278635082e-09, Evaluations = 1312
Generation 82: Best Solution = [-4.08463502e-06  5.68602395e-07], Best Fitness = 3.3741613947313454e-09, Evaluations = 1328
Generation 83: Best Solution = [-4.08463502e-06  5.68602395e-07], Best Fitness = 3.3741613947313454e-09, Evaluations = 1344
Generation 84: Best Solution = [-4.08463502e-06  5.68602395e-07], Best Fitness = 3.3741613947313454e-09, Evaluations = 1360
Generation 85: Best Solution = [-4.08463502e-06  5.68602395e-07], Best Fitness = 3.3741613947313454e-09, Evaluations = 1376
Generation 86: Best Solution = [-1.72607791e-06  2.66056031e-06], Best Fitness = 1.9954136121214106e-09, Evaluations = 1392
Generation 87: Best Solution = [-1.72607791e-06  2.66056031e-06], Best Fitness = 1.9954136121214106e-09, Evaluations = 1408
Generation 88: Best Solution = [-1.72607791e-06  2.66056031e-06], Best Fitness = 1.9954136121214106e-09, Evaluations = 1424
Generation 89: Best Solution = [-1.72607791e-06  2.66056031e-06], Best Fitness = 1.9954136121214106e-09, Evaluations = 1440
Generation 90: Best Solution = [-1.25909629e-06  1.11966857e-06], Best Fitness = 5.632330157823162e-10, Evaluations = 1456
Generation 91: Best Solution = [-1.25909629e-06  1.11966857e-06], Best Fitness = 5.632330157823162e-10, Evaluations = 1472
Generation 92: Best Solution = [-5.23221611e-07  9.87595681e-07], Best Fitness = 2.4781243723737134e-10, Evaluations = 1488
Generation 93: Best Solution = [-7.10991235e-07 -3.22997291e-07], Best Fitness = 1.2098766433155106e-10, Evaluations = 1504
Generation 94: Best Solution = [-7.04465421e-07 -1.63450067e-07], Best Fitness = 1.0375700298936863e-10, Evaluations = 1520
Generation 95: Best Solution = [ 4.46147450e-08 -2.12869382e-07], Best Fitness = 9.386269539390923e-12, Evaluations = 1536
Generation 96: Best Solution = [ 4.46147450e-08 -2.12869382e-07], Best Fitness = 9.386269539390923e-12, Evaluations = 1552
Generation 97: Best Solution = [-1.75541235e-07 -8.63605302e-08], Best Fitness = 7.59214913159667e-12, Evaluations = 1568
Generation 98: Best Solution = [-1.75541235e-07 -8.63605302e-08], Best Fitness = 7.59214913159667e-12, Evaluations = 1584
Generation 99: Best Solution = [-1.75541235e-07 -8.63605302e-08], Best Fitness = 7.59214913159667e-12, Evaluations = 1600
Generation 100: Best Solution = [-1.75541235e-07 -8.63605302e-08], Best Fitness = 7.59214913159667e-12, Evaluations = 1616
Generation 101: Best Solution = [-1.75541235e-07 -8.63605302e-08], Best Fitness = 7.59214913159667e-12, Evaluations = 1632
Generation 102: Best Solution = [-8.33243861e-08  7.86473060e-08], Best Fitness = 2.604139126560767e-12, Evaluations = 1648
Generation 103: Best Solution = [-8.33243861e-08  7.86473060e-08], Best Fitness = 2.604139126560767e-12, Evaluations = 1664
Generation 104: Best Solution = [-7.38175114e-09 -7.62359788e-08], Best Fitness = 1.1652900866465643e-12, Evaluations = 1680
Generation 105: Best Solution = [-3.19754132e-08 -2.75989240e-08], Best Fitness = 3.552713678800501e-13, Evaluations = 1696
Generation 106: Best Solution = [-3.19754132e-08 -2.75989240e-08], Best Fitness = 3.552713678800501e-13, Evaluations = 1712
Generation 107: Best Solution = [-3.19754132e-08 -2.75989240e-08], Best Fitness = 3.552713678800501e-13, Evaluations = 1728
Generation 108: Best Solution = [ 1.48603079e-09 -1.25942743e-08], Best Fitness = 3.197442310920451e-14, Evaluations = 1744
Generation 109: Best Solution = [ 1.48603079e-09 -1.25942743e-08], Best Fitness = 3.197442310920451e-14, Evaluations = 1760
Generation 110: Best Solution = [ 1.48603079e-09 -1.25942743e-08], Best Fitness = 3.197442310920451e-14, Evaluations = 1776
Generation 111: Best Solution = [ 1.48603079e-09 -1.25942743e-08], Best Fitness = 3.197442310920451e-14, Evaluations = 1792
Generation 112: Best Solution = [ 1.48603079e-09 -1.25942743e-08], Best Fitness = 3.197442310920451e-14, Evaluations = 1808
Generation 113: Best Solution = [ 4.39535591e-09 -8.42082010e-09], Best Fitness = 1.7763568394002505e-14, Evaluations = 1824
Generation 114: Best Solution = [ 1.48603079e-09 -2.03128708e-09], Best Fitness = 0.0, Evaluations = 1840
Generation 115: Best Solution = [ 1.48603079e-09 -2.03128708e-09], Best Fitness = 0.0, Evaluations = 1856
Generation 116: Best Solution = [ 1.48603079e-09 -2.03128708e-09], Best Fitness = 0.0, Evaluations = 1872
Generation 117: Best Solution = [ 1.48603079e-09 -2.03128708e-09], Best Fitness = 0.0, Evaluations = 1888
Generation 118: Best Solution = [ 1.48603079e-09 -2.03128708e-09], Best Fitness = 0.0, Evaluations = 1904
Generation 119: Best Solution = [ 1.48603079e-09 -2.03128708e-09], Best Fitness = 0.0, Evaluations = 1920
Generation 120: Best Solution = [ 1.48603079e-09 -2.03128708e-09], Best Fitness = 0.0, Evaluations = 1936
Generation 121: Best Solution = [ 1.48603079e-09 -2.03128708e-09], Best Fitness = 0.0, Evaluations = 1952
Generation 122: Best Solution = [ 1.48603079e-09 -2.03128708e-09], Best Fitness = 0.0, Evaluations = 1968
Generation 123: Best Solution = [ 1.48603079e-09 -2.03128708e-09], Best Fitness = 0.0, Evaluations = 1984
Generation 124: Best Solution = [ 1.48603079e-09 -2.03128708e-09], Best Fitness = 0.0, Evaluations = 2000
