Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [  -7.40672073 -124.56787468], Best Fitness = 4.463523704860986, Evaluations = 32
Generation 49: Best Solution = [0.27551559 0.13192443], Best Fitness = 0.04192214560497187, Evaluations = 1600
Generation 50: Best Solution = [0.27551559 0.13192443], Best Fitness = 0.04192214560497187, Evaluations = 1632
Generation 51: Best Solution = [0.27551559 0.13192443], Best Fitness = 0.04192214560497187, Evaluations = 1664
Generation 52: Best Solution = [-3.33022842 -4.23956185], Best Fitness = 0.035139168877732385, Evaluations = 1696
Generation 53: Best Solution = [-3.33022842 -4.23956185], Best Fitness = 0.035139168877732385, Evaluations = 1728
Generation 54: Best Solution = [-3.33022842 -4.23956185], Best Fitness = 0.035139168877732385, Evaluations = 1760
Generation 55: Best Solution = [3.01403313 4.19474903], Best Fitness = 0.03002318970507345, Evaluations = 1792
Generation 56: Best Solution = [3.01403313 4.19474903], Best Fitness = 0.03002318970507345, Evaluations = 1824
Generation 57: Best Solution = [3.01403313 4.19474903], Best Fitness = 0.02298429155861137, Evaluations = 1856
Generation 58: Best Solution = [3.01403313 4.19474903], Best Fitness = 0.02298429155861137, Evaluations = 1888
Generation 59: Best Solution = [3.01403313 4.19474903], Best Fitness = 0.02298429155861137, Evaluations = 1920
Generation 60: Best Solution = [3.01403313 4.19474903], Best Fitness = 0.02298429155861137, Evaluations = 1952
Generation 61: Best Solution = [3.01403313 4.19474903], Best Fitness = 0.02298429155861137, Evaluations = 1984
Generation 62: Best Solution = [3.01403313 4.19474903], Best Fitness = 0.02298429155861137, Evaluations = 2016
