Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 32
Max Evaluations: 2000

Generation 0: Best Solution = [ 0.00631384 -1.94309723], Best Fitness = 4.415895977669649, Evaluations = 32
Generation 45: Best Solution = [0.00207173 0.00044184], Best Fitness = 0.000890231564142141, Evaluations = 1472
Generation 46: Best Solution = [0.00207173 0.00044184], Best Fitness = 0.000890231564142141, Evaluations = 1504
Generation 47: Best Solution = [0.00207173 0.00044184], Best Fitness = 0.000890231564142141, Evaluations = 1536
Generation 48: Best Solution = [0.00207173 0.00044184], Best Fitness = 0.000890231564142141, Evaluations = 1568
Generation 49: Best Solution = [0.00207173 0.00044184], Best Fitness = 0.000890231564142141, Evaluations = 1600
Generation 50: Best Solution = [0.00207173 0.00044184], Best Fitness = 0.000890231564142141, Evaluations = 1632
Generation 51: Best Solution = [ 0.0003242  -0.00082019], Best Fitness = 0.00015431237113361362, Evaluations = 1664
Generation 52: Best Solution = [ 0.0003242  -0.00082019], Best Fitness = 0.00015431237113361362, Evaluations = 1696
Generation 53: Best Solution = [ 0.0003242  -0.00082019], Best Fitness = 0.00015431237113361362, Evaluations = 1728
Generation 54: Best Solution = [-0.00015092 -0.00064905], Best Fitness = 8.809488647187891e-05, Evaluations = 1760
Generation 55: Best Solution = [ 0.00037812 -0.0002387 ], Best Fitness = 3.966835063806684e-05, Evaluations = 1792
Generation 56: Best Solution = [ 0.00037812 -0.0002387 ], Best Fitness = 3.966835063806684e-05, Evaluations = 1824
Generation 57: Best Solution = [-0.00015092  0.00012328], Best Fitness = 7.533776951618165e-06, Evaluations = 1856
Generation 58: Best Solution = [-0.00015092  0.00012328], Best Fitness = 7.533776951618165e-06, Evaluations = 1888
Generation 59: Best Solution = [-0.00015092  0.00012328], Best Fitness = 7.533776951618165e-06, Evaluations = 1920
Generation 60: Best Solution = [-0.00015092  0.00012328], Best Fitness = 7.533776951618165e-06, Evaluations = 1952
Generation 61: Best Solution = [-0.00015092  0.00012328], Best Fitness = 7.533776951618165e-06, Evaluations = 1984
Generation 62: Best Solution = [-0.00015092  0.00012328], Best Fitness = 3.056211866692138e-06, Evaluations = 2016
