Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 0: Best Solution = [-2.21696827 11.97942553], Best Fitness = 17.327341763956294, Evaluations = 16
Generation 103: Best Solution = [-4.18001908e-11  7.01751859e-11], Best Fitness = 2.3102986190792762e-10, Evaluations = 1664
Generation 104: Best Solution = [-4.18001908e-11  7.01751859e-11], Best Fitness = 2.3102986190792762e-10, Evaluations = 1680
Generation 105: Best Solution = [-4.18001908e-11  7.01751859e-11], Best Fitness = 2.3102986190792762e-10, Evaluations = 1696
Generation 106: Best Solution = [5.10026283e-11 5.06301909e-11], Best Fitness = 2.032654045081017e-10, Evaluations = 1712
Generation 107: Best Solution = [-2.29155301e-12 -1.43099951e-11], Best Fitness = 4.099165451521003e-11, Evaluations = 1728
Generation 108: Best Solution = [-2.29155301e-12 -1.43099951e-11], Best Fitness = 4.099165451521003e-11, Evaluations = 1744
Generation 109: Best Solution = [-8.10260131e-12  2.96994236e-12], Best Fitness = 2.4411139776248092e-11, Evaluations = 1760
Generation 110: Best Solution = [-8.10260131e-12  2.96994236e-12], Best Fitness = 2.4411139776248092e-11, Evaluations = 1776
Generation 111: Best Solution = [-8.10260131e-12  2.96994236e-12], Best Fitness = 2.4411139776248092e-11, Evaluations = 1792
Generation 112: Best Solution = [-8.10260131e-12  2.96994236e-12], Best Fitness = 2.4411139776248092e-11, Evaluations = 1808
Generation 113: Best Solution = [-8.10260131e-12  2.96994236e-12], Best Fitness = 2.4411139776248092e-11, Evaluations = 1824
Generation 114: Best Solution = [-8.10260131e-12  2.96994236e-12], Best Fitness = 2.4411139776248092e-11, Evaluations = 1840
Generation 115: Best Solution = [-8.10260131e-12  2.96994236e-12], Best Fitness = 2.4411139776248092e-11, Evaluations = 1856
Generation 116: Best Solution = [-3.30981718e-12  7.79117030e-12], Best Fitness = 2.3942181570646426e-11, Evaluations = 1872
Generation 117: Best Solution = [-3.30981718e-12  7.79117030e-12], Best Fitness = 2.3942181570646426e-11, Evaluations = 1888
Generation 118: Best Solution = [-3.30981718e-12  7.79117030e-12], Best Fitness = 2.3942181570646426e-11, Evaluations = 1904
Generation 119: Best Solution = [-3.30981718e-12  7.79117030e-12], Best Fitness = 2.3942181570646426e-11, Evaluations = 1920
Generation 120: Best Solution = [-3.30981718e-12  7.79117030e-12], Best Fitness = 2.3942181570646426e-11, Evaluations = 1936
Generation 121: Best Solution = [5.81579053e-12 2.96994236e-12], Best Fitness = 1.8471002505293654e-11, Evaluations = 1952
Generation 122: Best Solution = [2.14034866e-12 7.20220859e-13], Best Fitness = 6.388223283693151e-12, Evaluations = 1968
Generation 123: Best Solution = [2.14034866e-12 7.20220859e-13], Best Fitness = 6.388223283693151e-12, Evaluations = 1984
Generation 124: Best Solution = [2.14034866e-12 7.20220859e-13], Best Fitness = 6.388223283693151e-12, Evaluations = 2000
